Period;Period Sold;Code-Licensor;Name Licensor;CC;Label;LC;Artist;Title;EAN;ISRC;Label Order-Nr;Provider;Shop;Content;Country;Retail Price;Retail Price Currency;Publ.-%;Publ.-min;Publ.a piece;Publ.-EUR;Income;Share %;Share EUR;Sales;Revenue-EUR;Rev.less Publ.EUR
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Franca;Microdosing;8,44216E+11;DEBE72100444;TTR075;Zebralution;Spotify;Subscription;DE;0;EUR;0;0;0;0;0,002624444;80;0,002441343;26;0,063474925;0,063474925
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Franca;Microdosing;8,44216E+11;DEBE72100444;TTR075;Zebralution;Spotify;Subscription;BG;0;EUR;0;0;0;0;0,002623395;80;0,002440367;12;0,029284409;0,029284409
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Franca;Microdosing;8,44216E+11;DEBE72100444;TTR075;Zebralution;Spotify;Subscription;LT;0;EUR;0;0;0;0;0,002604325;80;0,002422628;3;0,007267884;0,007267884
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Franca;Microdosing;8,44216E+11;DEBE72100444;TTR075;Zebralution;Spotify;Subscription;IL;0;EUR;0;0;0;0;0,002597493;80;0,002416273;2;0,004832545;0,004832545
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Franca;Microdosing;8,44216E+11;DEBE72100444;TTR075;Zebralution;Spotify;Subscription;MV;0;EUR;0;0;0;0;0,002585882;80;0,002405472;1;0,002405472;0,002405472
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Franca;Microdosing;8,44216E+11;DEBE72100444;TTR075;Zebralution;Spotify;Subscription;MX;0;EUR;0;0;0;0;0,002584272;80;0,002403974;1;0,002403974;0,002403974
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Franca;Microdosing;8,44216E+11;DEBE72100444;TTR075;Zebralution;Spotify;Subscription;CZ;0;EUR;0;0;0;0;0,002575566;80;0,002395875;1;0,002395875;0,002395875
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Franca;Microdosing;8,44216E+11;DEBE72100444;TTR075;Zebralution;Spotify;Subscription;BE;0;EUR;0;0;0;0;0,002574443;80;0,002394831;45;0,107767382;0,107767382
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Franca;Microdosing;8,44216E+11;DEBE72100444;TTR075;Zebralution;Spotify;Subscription;LT;0;EUR;0;0;0;0;0,002568339;80;0,002389153;1;0,002389153;0,002389153
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Franca;Microdosing;8,44216E+11;DEBE72100444;TTR075;Zebralution;Spotify;Subscription;SG;0;EUR;0;0;0;0;0,00256366;80;0,0023848;1;0,0023848;0,0023848
